id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
17791658,63276696,Bobby,Wyndham,-37.90863224,144.7609798,Private room,51,1,1,21/3/17,1,4,348,1,100
17791672,63276696,Bobby,Wyndham,-37.90784239,144.7620363,Private room,51,1,0,,,4,164,1,
16382651,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90416784,144.7244541,Entire home/apt,245,2,0,,,46,338,8,
13593771,78561414,Karen,Wyndham,-37.9002255,144.6158348,Entire home/apt,139,2,38,25/3/17,4.25,1,284,4,99
16355774,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.91854332,144.7456483,Entire home/apt,244,2,0,,,46,338,8,
5661754,10857350,Lyn,Wyndham,-37.89228865,144.6668506,Private room,50,1,15,30/3/17,0.66,4,360,1,93
16676910,37446634,Jojo,Wyndham,-37.90585732,144.7673688,Entire home/apt,148,2,4,7/3/17,1.62,1,32,5,90
6748080,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.89263917,144.7471184,Entire home/apt,275,2,1,19/2/17,0.67,46,344,11,100
11989583,64091016,EFel,Wyndham,-37.88490363,144.7193728,Private room,50,1,7,21/7/16,0.57,1,365,1,89
3075412,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.9092737,144.7753598,Entire home/apt,185,2,6,27/12/16,0.28,46,360,8,83
17985133,77994373,Jessie,Wyndham,-37.88694803,144.6145507,Private room,35,1,0,,,3,181,1,
